Title,Description,Issue ID,URL,State,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent
Mobile responsive->ios->date->Need to correct the  font color of the date,"",30,https://gitlab.com/ManualProjects/gotarc/-/issues/30,Open,Minnu InterSmart,minnu2,"","",No,No,,2025-05-14 12:20:51,2025-05-15 06:39:44,,,,"HTML,P3,Status : New,Type :  Correction",0,0
It would be good to link the pages for better navigation and user experience.,"",31,https://gitlab.com/ManualProjects/gotarc/-/issues/31,Open,Minnu InterSmart,minnu2,"","",No,No,,2025-05-14 12:23:28,2025-05-15 06:38:39,,,,"HTML,P4,Status : New,Type : Suggestion",0,0
"Mobile responsive->ios,Android->hamburger menu->Programme->Remove the image from the mobile view",https://jam.dev/c/8ea58d40-01c8-4ead-a7b4-fec206a1b14d,32,https://gitlab.com/ManualProjects/gotarc/-/issues/32,Open,Minnu InterSmart,minnu2,"","",No,No,,2025-05-14 12:45:05,2025-05-15 06:38:18,,,,"HTML,P4,Status : New,Type : Suggestion",0,0
"Navigation menu->Programme->When the dropdown menu is opened, the plus icon should change to a minus icon to indicate the expanded",https://jam.dev/c/ec206edf-0bb0-43a3-9d4e-a6906d1376fe,33,https://gitlab.com/ManualProjects/gotarc/-/issues/33,Open,Minnu InterSmart,minnu2,"","",No,No,,2025-05-14 12:49:27,2025-05-15 06:33:20,,,,"HTML,P3,Status : New,Type : Enhancement",0,0
Navigation  menu->The positions of the navigation menus do not match the design in Figma.( even the screen reduced to  75%),https://jam.dev/c/12bd76f7-7ddd-460e-ada0-a5114887ee67,34,https://gitlab.com/ManualProjects/gotarc/-/issues/34,Open,Minnu InterSmart,minnu2,"","",No,No,,2025-05-15 06:08:45,2025-05-15 06:31:16,,,,"Deviation,HTML,P3,Status : New",0,0
"Home->Adventure Awaits Young Minds->sections 1,2,3->The position of the number  and content is placed  in the correct position like in the figma","",35,https://gitlab.com/ManualProjects/gotarc/-/issues/35,Open,Minnu InterSmart,minnu2,"","",No,No,,2025-05-15 06:11:00,2025-05-15 06:31:45,,,,"Deviation,HTML,P3,Status : New",0,0
Safari->Home->Broaden Your Horizons->correct the transparency of the heading background so that it aligns with the Figma design,https://jam.dev/c/17b72103-76a1-4308-9015-bbf5fff5d66e,36,https://gitlab.com/ManualProjects/gotarc/-/issues/36,Open,Minnu InterSmart,minnu2,"","",No,No,,2025-05-15 06:14:21,2025-05-15 06:32:06,,,,"HTML,P4,Status : New,Type :  Correction",0,0
Safari->About->Counter->Alignment issue in counter section,https://jam.dev/c/34fe82d0-5e69-481e-9e1e-267faa4b8ba9,37,https://gitlab.com/ManualProjects/gotarc/-/issues/37,Open,Minnu InterSmart,minnu2,"","",No,No,,2025-05-15 06:24:09,2025-05-15 06:30:48,,,,"HTML,P2,Status : New,Type : Bug",0,0
Safari->About->Pillars Of TARC->Scroll bar is visible  on the section,https://jam.dev/c/d0bc7bb0-2bec-460a-acae-2e05468161f5,38,https://gitlab.com/ManualProjects/gotarc/-/issues/38,Open,Minnu InterSmart,minnu2,"","",No,No,,2025-05-15 06:27:24,2025-05-15 06:30:01,,,,"HTML,P3,Status : New,Type : Bug",0,0
Privacy policy->Phone number->It will be good to add tel tag to the phone number field,https://jam.dev/c/645f83a0-5747-4502-bd30-62d10fa9d897,39,https://gitlab.com/ManualProjects/gotarc/-/issues/39,Open,Minnu InterSmart,minnu2,"","",No,No,,2025-05-15 07:20:26,2025-05-15 07:20:26,,,,"HTML,P4,Status : New,Type : Suggestion",0,0
